# Paso Energía_Potencial Energía_Cinética Energía_Total
173 24.759176267592654 9.672977904656078 34.43215417224873
174 24.146224732730794 10.165193123912786 34.31141785664358
175 23.5273940675372 10.659720377542213 34.187114445079416
176 22.903698138747924 11.155588891205836 34.05928702995376
177 22.276154719842257 11.651826138159313 33.92798085800157
178 21.645783596606513 12.147459742119775 33.793243338726285
179 21.013604672485613 12.641519377854923 33.65512405034053
180 20.380636077376554 13.133038665768353 33.513674743144904
181 19.74789228350651 13.621057056772244 33.36894934027875
182 19.116382232021785 14.104621703762561 33.221003935784346
183 18.48710747388843 14.582789316043245 33.069896789931676
184 17.861060328674746 15.05462799308406 32.91568832175881
185 17.23922206474688 15.519219034042262 32.75844109878914
186 16.622561104363466 15.975658719530417 32.598219823893885
187 16.01203125710371 16.423060062171814 32.43509131927553
188 15.408569985003941 16.860554522550707 32.26912450755465
189 14.81309670271261 17.287293687236797 32.10039038994941
190 14.226511115902579 17.702450905642173 31.928962021544752
191 13.649691601100594 18.105222882553566 31.75491448365416
192 13.083493630010624 18.494831223273927 31.57832485328455
193 12.528748241317317 18.870523928403884 31.3992721697212
194 11.986260562860224 19.23157683539607 31.217837398256293
195 11.456808386967827 19.577295004123233 31.034103391091058
196 10.941140801633974 19.9070140438139 30.848154845447873
197 10.439976880107366 20.220101378827597 30.660078258934963
198 9.954004431347547 20.515957450864285 30.469961882211834
199 9.4838788136799 20.794016855329943 30.277895669009844
200 9.030221813855619 21.05374940971196 30.083971223567577
201 8.59362059359268 21.29466115195331 29.88828174554599
202 8.174626705539353 21.51629526695393 29.690921972493282
203 7.773755180464498 21.718232939470298 29.491988119934796
204 7.391483687336802 21.90009413183028 29.29157781916708
